"","station","parameter","time","value","unit","qaqc_flag_id"
"185","FRK","pH",2021-01-02 22:00:00,7.58,"pH Units","G"
"186","FRK","pH",2021-01-02 22:15:00,7.58,"pH Units","G"
"187","FRK","pH",2021-01-02 22:30:00,7.58,"pH Units","G"
"188","FRK","pH",2021-01-02 22:45:00,7.58,"pH Units","G"
"189","FRK","pH",2021-01-02 23:00:00,7.57,"pH Units","G"
"190","FRK","pH",2021-01-02 23:15:00,7.57,"pH Units","G"
"191","FRK","pH",2021-01-02 23:30:00,7.56,"pH Units","G"
"192","FRK","pH",2021-01-02 23:45:00,7.57,"pH Units","G"
"193","FRK","pH",2021-01-03 00:00:00,7.57,"pH Units","G"
"194","FRK","pH",2021-01-03 00:15:00,7.56,"pH Units","G"
"195","FRK","pH",2021-01-03 00:30:00,7.57,"pH Units","G"
"196","FRK","pH",2021-01-03 00:45:00,7.56,"pH Units","G"
"197","FRK","pH",2021-01-03 01:00:00,7.57,"pH Units","G"
"198","FRK","pH",2021-01-03 01:15:00,7.55,"pH Units","G"
"199","FRK","pH",2021-01-03 01:30:00,7.54,"pH Units","G"
"200","FRK","pH",2021-01-03 01:45:00,7.53,"pH Units","G"
"201","FRK","pH",2021-01-03 02:00:00,7.53,"pH Units","G"
"202","FRK","pH",2021-01-03 02:15:00,7.52,"pH Units","G"
"203","FRK","pH",2021-01-03 02:30:00,7.52,"pH Units","G"
"204","FRK","pH",2021-01-03 02:45:00,7.52,"pH Units","G"
"205","FRK","pH",2021-01-03 03:00:00,7.52,"pH Units","G"
"206","FRK","pH",2021-01-03 03:15:00,7.51,"pH Units","G"
"207","FRK","pH",2021-01-03 03:30:00,7.51,"pH Units","G"
"208","FRK","pH",2021-01-03 03:45:00,7.51,"pH Units","G"
"209","FRK","pH",2021-01-03 04:00:00,7.52,"pH Units","G"
"210","FRK","pH",2021-01-03 04:15:00,7.53,"pH Units","G"
"211","FRK","pH",2021-01-03 04:30:00,7.55,"pH Units","G"
"212","FRK","pH",2021-01-03 04:45:00,7.55,"pH Units","G"
"213","FRK","pH",2021-01-03 05:00:00,7.55,"pH Units","G"
"214","FRK","pH",2021-01-03 05:15:00,7.55,"pH Units","G"
"215","FRK","pH",2021-01-03 05:30:00,7.55,"pH Units","G"
"216","FRK","pH",2021-01-03 05:45:00,7.55,"pH Units","G"
"217","FRK","pH",2021-01-03 06:00:00,7.55,"pH Units","G"
"218","FRK","pH",2021-01-03 06:15:00,7.55,"pH Units","G"
"219","FRK","pH",2021-01-03 06:30:00,7.55,"pH Units","G"
"220","FRK","pH",2021-01-03 06:45:00,7.55,"pH Units","G"
"221","FRK","pH",2021-01-03 07:00:00,7.55,"pH Units","G"
"222","FRK","pH",2021-01-03 07:15:00,7.55,"pH Units","G"
"223","FRK","pH",2021-01-03 07:30:00,7.56,"pH Units","G"
"224","FRK","pH",2021-01-03 07:45:00,7.55,"pH Units","G"
"225","FRK","pH",2021-01-03 08:00:00,7.56,"pH Units","G"
"226","FRK","pH",2021-01-03 08:15:00,7.56,"pH Units","G"
"227","FRK","pH",2021-01-03 08:30:00,7.57,"pH Units","G"
"228","FRK","pH",2021-01-03 08:45:00,7.57,"pH Units","G"
"229","FRK","pH",2021-01-03 09:00:00,7.58,"pH Units","G"
"230","FRK","pH",2021-01-03 09:15:00,7.57,"pH Units","G"
"231","FRK","pH",2021-01-03 09:30:00,7.57,"pH Units","G"
"232","FRK","pH",2021-01-03 09:45:00,7.57,"pH Units","G"
"233","FRK","pH",2021-01-03 10:00:00,7.56,"pH Units","G"
"234","FRK","pH",2021-01-03 10:15:00,7.57,"pH Units","G"
"235","FRK","pH",2021-01-03 10:30:00,7.56,"pH Units","G"
"236","FRK","pH",2021-01-03 10:45:00,7.55,"pH Units","G"
"237","FRK","pH",2021-01-03 11:00:00,7.55,"pH Units","G"
"238","FRK","pH",2021-01-03 11:15:00,7.55,"pH Units","G"
"239","FRK","pH",2021-01-03 11:30:00,7.55,"pH Units","G"
"240","FRK","pH",2021-01-03 11:45:00,7.55,"pH Units","G"
"241","FRK","pH",2021-01-03 12:00:00,7.54,"pH Units","G"
"242","FRK","pH",2021-01-03 12:15:00,7.55,"pH Units","G"
"243","FRK","pH",2021-01-03 12:30:00,7.54,"pH Units","G"
"244","FRK","pH",2021-01-03 12:45:00,7.55,"pH Units","G"
"245","FRK","pH",2021-01-03 13:00:00,7.55,"pH Units","G"
"246","FRK","pH",2021-01-03 13:15:00,7.54,"pH Units","G"
"247","FRK","pH",2021-01-03 13:30:00,7.54,"pH Units","G"
"248","FRK","pH",2021-01-03 13:45:00,7.54,"pH Units","G"
"249","FRK","pH",2021-01-03 14:00:00,7.55,"pH Units","G"
"250","FRK","pH",2021-01-03 14:15:00,7.54,"pH Units","G"
"251","FRK","pH",2021-01-03 14:30:00,7.54,"pH Units","G"
"252","FRK","pH",2021-01-03 14:45:00,7.54,"pH Units","G"
"253","FRK","pH",2021-01-03 15:00:00,7.55,"pH Units","G"
"254","FRK","pH",2021-01-03 15:15:00,7.55,"pH Units","G"
"255","FRK","pH",2021-01-03 15:30:00,7.54,"pH Units","G"
"256","FRK","pH",2021-01-03 15:45:00,7.55,"pH Units","G"
"257","FRK","pH",2021-01-03 16:00:00,7.56,"pH Units","G"
"258","FRK","pH",2021-01-03 16:15:00,7.56,"pH Units","G"
"259","FRK","pH",2021-01-03 16:30:00,7.57,"pH Units","G"
"260","FRK","pH",2021-01-03 16:45:00,7.58,"pH Units","G"
"261","FRK","pH",2021-01-03 17:00:00,7.58,"pH Units","G"
"262","FRK","pH",2021-01-03 17:15:00,7.58,"pH Units","G"
"263","FRK","pH",2021-01-03 17:30:00,7.58,"pH Units","G"
"264","FRK","pH",2021-01-03 17:45:00,7.59,"pH Units","G"
"265","FRK","pH",2021-01-03 18:00:00,7.58,"pH Units","G"
"266","FRK","pH",2021-01-03 18:15:00,7.59,"pH Units","G"
"267","FRK","pH",2021-01-03 18:30:00,7.59,"pH Units","G"
"268","FRK","pH",2021-01-03 18:45:00,7.6,"pH Units","G"
"269","FRK","pH",2021-01-03 19:00:00,7.6,"pH Units","G"
"270","FRK","pH",2021-01-03 19:15:00,7.61,"pH Units","G"
"271","FRK","pH",2021-01-03 19:30:00,7.61,"pH Units","G"
"272","FRK","pH",2021-01-03 19:45:00,7.62,"pH Units","G"
"273","FRK","pH",2021-01-03 20:00:00,7.62,"pH Units","G"
"274","FRK","pH",2021-01-03 20:15:00,7.6,"pH Units","G"
"275","FRK","pH",2021-01-03 20:30:00,7.59,"pH Units","G"
"276","FRK","pH",2021-01-03 20:45:00,7.57,"pH Units","G"
"277","FRK","pH",2021-01-03 21:00:00,7.56,"pH Units","G"
"278","FRK","pH",2021-01-03 21:15:00,7.56,"pH Units","G"
"279","FRK","pH",2021-01-03 21:30:00,7.54,"pH Units","G"
"280","FRK","pH",2021-01-03 21:45:00,7.54,"pH Units","G"
"281","FRK","pH",2021-01-03 22:00:00,7.52,"pH Units","G"
"282","FRK","pH",2021-01-03 22:15:00,7.54,"pH Units","G"
"283","FRK","pH",2021-01-03 22:30:00,7.52,"pH Units","G"
"284","FRK","pH",2021-01-03 22:45:00,7.54,"pH Units","G"
"285","FRK","pH",2021-01-03 23:00:00,7.53,"pH Units","G"
"286","FRK","pH",2021-01-03 23:15:00,7.53,"pH Units","G"
"287","FRK","pH",2021-01-03 23:30:00,7.53,"pH Units","G"
"288","FRK","pH",2021-01-03 23:45:00,7.53,"pH Units","G"
"289","FRK","pH",2021-01-04 00:00:00,7.53,"pH Units","G"
"290","FRK","pH",2021-01-04 00:15:00,7.54,"pH Units","G"
"291","FRK","pH",2021-01-04 00:30:00,7.53,"pH Units","G"
"292","FRK","pH",2021-01-04 00:45:00,7.54,"pH Units","G"
"293","FRK","pH",2021-01-04 01:00:00,7.54,"pH Units","G"
"294","FRK","pH",2021-01-04 01:15:00,7.54,"pH Units","G"
"295","FRK","pH",2021-01-04 01:30:00,7.54,"pH Units","G"
"296","FRK","pH",2021-01-04 01:45:00,7.54,"pH Units","G"
"297","FRK","pH",2021-01-04 02:00:00,7.54,"pH Units","G"
"298","FRK","pH",2021-01-04 02:15:00,7.53,"pH Units","G"
"299","FRK","pH",2021-01-04 02:30:00,7.52,"pH Units","G"
"300","FRK","pH",2021-01-04 02:45:00,7.52,"pH Units","G"
"301","FRK","pH",2021-01-04 03:00:00,7.51,"pH Units","G"
"302","FRK","pH",2021-01-04 03:15:00,7.5,"pH Units","G"
